"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"844",2,"Bueno",15.82,"Ninguno",50,"Hago mi propio café"
"845",3,"Puede Mejorar",17,"Ninguno",30,"Starbucks"
"846",1,"Regular",14,"Ninguno",11,"""Bodegas"" como Listo, Tambo, etc"
"847",NA,NA,NA,"Beca",NA,NA
"848",1,"Bueno",14,"Ninguno",25,"Hago mi propio café"
"849",5,"Regular",16.4,"Beca",0,"Hago mi propio café"
"850",2,"Bueno",14.8,"Ninguno",20,"Starbucks"
"851",NA,NA,NA,"Ninguno",NA,NA
"852",1,"Bueno",13,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"853",NA,"Puede Mejorar",16.8,"Beca",0,"Hago mi propio café"
"854",10,"Excelente",17,"Ninguno",NA,"Cafetería Artesanal"
"855",1,"Bueno",15,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"856",NA,NA,NA,"Ninguno",NA,NA
"857",1,"Bueno",13.85,"Ninguno",2,"Starbucks"
"858",4,"Bueno",15.4,"Semi-beca",10,"Hago mi propio café"
"859",NA,NA,NA,"Beca",NA,NA
"860",NA,NA,NA,"Ninguno",NA,NA
"861",NA,NA,NA,"Beca",NA,NA
"862",2,"Bueno",NA,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"863",5,"Excelente",13.45,"Beca",12,"Cafetería Artesanal"
"864",2,"Bueno",14,"Ninguno",2,"Hago mi propio café"
"865",4,"Regular",13.4,"Ninguno",10,"Hago mi propio café"
"866",1,"Regular",15,"Ninguno",10,"Cafetería Artesanal"
"867",1,"Bueno",15.22,"Ninguno",0,"Starbucks"
"868",5,"Bueno",NA,"Ninguno",40,"Hago mi propio café"
"869",4,"Bueno",12,"Ninguno",8,"Starbucks"
"870",1,"Bueno",12,"Ninguno",15,"Starbucks"
"871",NA,"Bueno",20,"Ninguno",12,"Starbucks"
"872",2,"Bueno",16,"Ninguno",15,"Starbucks"
"873",NA,NA,NA,"Ninguno",NA,NA
"874",NA,NA,NA,"Ninguno",NA,NA
"875",1,"Bueno",9.38,"Ninguno",0,"Hago mi propio café"
"876",1,"Bueno",16.3,"Ninguno",35,"""Bodegas"" como Listo, Tambo, etc"
"877",3,"Bueno",13,"Ninguno",6,"Cafetería Artesanal"
"878",2,"Puede Mejorar",16.34,"Beca",4,"Hago mi propio café"
"879",2,"Bueno",15,"Semi-beca",10,"Hago mi propio café"
"880",2,"Excelente",16,"Ninguno",18,"""Bodegas"" como Listo, Tambo, etc"
"881",1,"Excelente",14.66,"Ninguno",3,"Starbucks"
"882",NA,NA,NA,"Beca",NA,NA
"883",NA,NA,NA,"Ninguno",NA,NA
"884",2,"Bueno",16.54,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"885",1,"Bueno",16.8,"Semi-beca",15,"Hago mi propio café"
"886",3,"Bueno",13.2,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"887",2,"Bueno",13,"Ninguno",60,"Hago mi propio café"
"888",NA,NA,NA,"Ninguno",NA,NA
"889",NA,NA,NA,"Semi-beca",NA,NA
"890",NA,NA,NA,"Beca",NA,NA
"891",2,"Bueno",14.1,"Beca",5,"Hago mi propio café"
"892",2,"Bueno",14,"Ninguno",24,"""Bodegas"" como Listo, Tambo, etc"
"893",2,"Excelente",14.9,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"894",NA,NA,NA,"Ninguno",NA,NA
"895",1,"Bueno",12.9,"Beca",5,"Hago mi propio café"
"896",1,"Regular",16,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"897",2,"Bueno",13,"Ninguno",20,"Hago mi propio café"
"898",NA,NA,NA,"Ninguno",NA,NA
"899",NA,NA,NA,"Ninguno",NA,NA
"900",1,"Bueno",15.7,"Beca",5,"Starbucks"
"901",1,"Regular",16,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"902",NA,NA,NA,"Semi-beca",NA,NA
"903",NA,NA,NA,"Beca",NA,NA
"904",1,"Regular",14.6,"Beca",7,"""Bodegas"" como Listo, Tambo, etc"
"905",NA,NA,NA,"Ninguno",NA,NA
"906",1,"Bueno",14.35,"Beca",30,"""Bodegas"" como Listo, Tambo, etc"
"907",1,"Excelente",13,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"908",1,"Bueno",15,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"909",1,"Regular",16.71,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"910",2,"Excelente",15.3,"Semi-beca",25,"""Bodegas"" como Listo, Tambo, etc"
"911",NA,NA,NA,"Ninguno",NA,NA
"912",1,"Regular",13.45,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"913",4,"Bueno",15.34,"Semi-beca",0,"""Bodegas"" como Listo, Tambo, etc"
"914",NA,NA,NA,"Ninguno",NA,NA
"915",2,"Bueno",14.3,"Ninguno",35,"Cafetería Artesanal"
"916",2,"Bueno",12.6,"Ninguno",60,"Starbucks"
"917",2,"Regular",16,"Beca",3,"Hago mi propio café"
"918",1,"Bueno",15,"Beca",10,"Hago mi propio café"
"919",NA,NA,NA,"Ninguno",NA,NA
"920",NA,NA,NA,"Semi-beca",NA,NA
"921",NA,NA,NA,"Beca",NA,NA
"922",1,"Regular",16,"Beca",30,"Hago mi propio café"
"923",2,"Bueno",15.3,"Semi-beca",14,"Starbucks"
"924",NA,NA,NA,"Ninguno",NA,NA
"925",2,"Bueno",14.56,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"926",1,"Bueno",16.2,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"927",2,"Bueno",16.14,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"928",3,"Regular",16.58,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"929",1,"Bueno",15.5,"Semi-beca",6,"Hago mi propio café"
"930",1,"Bueno",15.24,"Ninguno",10,"Hago mi propio café"
"931",NA,NA,NA,"Ninguno",NA,NA
"932",5,"Regular",12.4,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"933",NA,NA,NA,"Ninguno",NA,NA
"934",2,"Regular",14.82,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"935",NA,NA,NA,"Ninguno",NA,NA
"936",1,"Puede Mejorar",13.8,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"937",3,"Bueno",14.82,"Ninguno",30,"Cafetería Artesanal"
"938",1,"Regular",14.6,"Ninguno",12,"Cafetería Artesanal"
"939",1,"Bueno",15.4,"Ninguno",15,"Cafetería Artesanal"
"940",NA,NA,NA,"Semi-beca",NA,NA
"941",2,"Bueno",16,"Ninguno",10,"Cafetería Artesanal"
"942",2,"Bueno",NA,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"943",1,"Puede Mejorar",15.24,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"944",1,"Bueno",13.8,"Ninguno",28,"Cafetería Artesanal"
"945",2,"Bueno",14,"Ninguno",83,"Hago mi propio café"
"946",NA,NA,NA,"Semi-beca",NA,NA
"947",1,"Excelente",16.3,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"948",3,"Bueno",17,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"949",1,"Excelente",18.4,"Ninguno",10,"Hago mi propio café"
"950",1,"Regular",12.6,"Ninguno",0,"Hago mi propio café"
"951",NA,NA,NA,"Semi-beca",NA,NA
"952",2,"Regular",15,"Beca",5,"Hago mi propio café"
"953",3,"Bueno",14.5,"Ninguno",100,"""Bodegas"" como Listo, Tambo, etc"
"954",NA,NA,NA,"Ninguno",NA,NA
"955",NA,NA,NA,"Ninguno",NA,NA
"956",NA,NA,NA,"Ninguno",NA,NA
"957",1,"Excelente",14.6,"Ninguno",12.5,"""Bodegas"" como Listo, Tambo, etc"
"958",NA,NA,NA,"Ninguno",NA,NA
"959",3,"Regular",NA,"Ninguno",10,"Starbucks"
"960",4,"Excelente",16.3,"Beca",50,"Hago mi propio café"
"961",1,"Bueno",14,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"962",NA,NA,NA,"Ninguno",NA,NA
"963",3,"Regular",NA,"Ninguno",10,"Hago mi propio café"
"964",NA,NA,NA,"Ninguno",NA,NA
"965",3,"Bueno",12.9,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"966",NA,NA,NA,"Ninguno",NA,NA
"967",1,"Regular",16,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"968",1,"Bueno",13,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"969",1,"Bueno",13.7,"Ninguno",2,"Hago mi propio café"
"970",NA,NA,NA,"Ninguno",NA,NA
"971",1,"Regular",13.95,"Semi-beca",5,"Hago mi propio café"
"972",1,"Regular",12.56,"Ninguno",7,"""Bodegas"" como Listo, Tambo, etc"
"973",1,"Bueno",16.7,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"974",NA,NA,NA,"Ninguno",NA,NA
"975",NA,NA,NA,"Ninguno",NA,NA
"976",NA,NA,NA,"Ninguno",NA,NA
"977",2,"Regular",12.1,"Ninguno",20,"Hago mi propio café"
"978",NA,NA,NA,"Ninguno",NA,NA
"979",1,"Bueno",13,"Ninguno",8,"Hago mi propio café"
"980",NA,NA,NA,"Ninguno",NA,NA
"981",NA,NA,NA,"Ninguno",NA,NA
"982",NA,NA,NA,"Semi-beca",NA,NA
"983",1,"Regular",13.86,"Ninguno",0,"Hago mi propio café"
"984",NA,NA,NA,"Ninguno",NA,NA
"985",NA,NA,NA,"Ninguno",NA,NA
"986",2,"Bueno",15,"Ninguno",25,"""Bodegas"" como Listo, Tambo, etc"
"987",1,"Puede Mejorar",16,"Beca",30,"Starbucks"
"988",3,"Bueno",15,"Ninguno",24,"Hago mi propio café"
"989",2,"Regular",14.64,"Beca",20,"""Bodegas"" como Listo, Tambo, etc"
"990",2,"Regular",15,"Beca",5,"Hago mi propio café"
"991",4,"Bueno",15.2,"Ninguno",30,"Hago mi propio café"
"992",NA,NA,NA,"Beca",NA,NA
"993",NA,NA,NA,"Ninguno",NA,NA
"994",1,"Bueno",0,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"995",2,"Bueno",17,"Ninguno",24,"Hago mi propio café"
"996",3,"Excelente",18.15,"Beca",40,"Cafetería Artesanal"
"997",1,"Bueno",NA,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"998",NA,NA,NA,"Ninguno",NA,NA
"999",3,"Regular",NA,"Ninguno",30,"Cafetería Artesanal"
"1000",NA,NA,NA,"Ninguno",NA,NA
"1001",1,"Regular",14.56,"Beca",5,"Cafetería Artesanal"
"1002",2,"Excelente",15,"Ninguno",50,"Cafetería Artesanal"
"1003",NA,NA,NA,"Ninguno",NA,NA
"1004",NA,NA,NA,"Ninguno",NA,NA
"1005",1,"Bueno",12,"Ninguno",0,"Hago mi propio café"
"1006",4,"Bueno",15,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"1007",3,"Bueno",15,"Ninguno",30,"Starbucks"
"1008",NA,NA,NA,"Beca",NA,NA
"1009",NA,"Excelente",14.8,"Semi-beca",2.5,"""Bodegas"" como Listo, Tambo, etc"
"1010",4,"Bueno",13,"Beca",15,"Cafetería Artesanal"
"1011",3,"Excelente",NA,"Ninguno",5,"Starbucks"
"1012",2,"Bueno",15.2,"Beca",0,"Hago mi propio café"
"1013",7,"Excelente",13,"Ninguno",30,"Starbucks"
"1014",NA,NA,NA,"Ninguno",NA,NA
"1015",2,"Regular",16.56,"Beca",12,"Hago mi propio café"
"1016",NA,NA,NA,"Ninguno",NA,NA
"1017",2,"Regular",16.51,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"1018",2,"Regular",14.4,"Ninguno",60,"Hago mi propio café"
"1019",1,"Bueno",13.4,"Beca",20,"Hago mi propio café"
"1020",9,"Puede Mejorar",20,"Ninguno",100,"Starbucks"
"1021",1,"Bueno",16.4,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1022",NA,NA,NA,"Ninguno",NA,NA
"1023",NA,"Bueno",14.95,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"1024",2,"Bueno",14,"Ninguno",30,"Hago mi propio café"
"1025",NA,NA,NA,"Ninguno",NA,NA
"1026",2,"Bueno",15,"Ninguno",0,"Hago mi propio café"
"1027",1,"Bueno",13.78,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"1028",1,"Bueno",14.5,"Beca",5,"Hago mi propio café"
"1029",7,"Bueno",13.6,"Ninguno",200,"Starbucks"
"1030",1,"Bueno",16,"Ninguno",30,"Hago mi propio café"
"1031",1,"Bueno",17.55,"Semi-beca",10,"Hago mi propio café"
"1032",3,"Excelente",17.4,"Ninguno",100,"Starbucks"
"1033",1,"Bueno",17.56,"Ninguno",16,"""Bodegas"" como Listo, Tambo, etc"
"1034",3,"Bueno",15.1,"Semi-beca",30,"Hago mi propio café"
"1035",3,"Regular",17.33,"Ninguno",14,"Starbucks"
"1036",2,"Bueno",15.3,"Ninguno",30,"Starbucks"
"1037",NA,NA,NA,"Ninguno",NA,NA
"1038",NA,NA,NA,"Ninguno",NA,NA
"1039",NA,NA,NA,"Beca",NA,NA
"1040",3,"Bueno",13.5,"Semi-beca",21,"Starbucks"
"1041",1,"Regular",15.7,"Ninguno",20,"Hago mi propio café"
"1042",2,"Bueno",14.1,"Ninguno",25,"Hago mi propio café"
"1043",1,"Bueno",14.6,"Ninguno",17,"Hago mi propio café"
"1044",1,"Bueno",16.1,"Ninguno",20,"Hago mi propio café"
"1045",1,"Excelente",17.5,"Semi-beca",20,"Hago mi propio café"
"1046",3,"Bueno",15.8,"Ninguno",25,"Hago mi propio café"
"1047",1,"Excelente",15.1,"Ninguno",60,"Starbucks"
"1048",NA,NA,NA,"Beca",NA,NA
"1049",4,"Bueno",15.4,"Ninguno",30,"Starbucks"
"1050",NA,NA,NA,"Beca",NA,NA
"1051",3,"Excelente",15.9,"Ninguno",40,"Starbucks"
"1052",1,"Bueno",16.3,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1053",NA,NA,NA,"Beca",NA,NA
"1054",2,"Bueno",17,"Ninguno",35,"""Bodegas"" como Listo, Tambo, etc"
"1055",NA,NA,NA,"Ninguno",NA,NA
"1056",3,"Bueno",16.4,"Ninguno",50,"Starbucks"
"1057",NA,NA,NA,"Ninguno",NA,NA
"1058",NA,NA,NA,"Beca",NA,NA
"1059",NA,NA,NA,"Beca",NA,NA
"1060",4,"Bueno",17.65,"Ninguno",30,"Hago mi propio café"
"1061",NA,NA,NA,"Beca",NA,NA
"1062",NA,NA,NA,"Beca",NA,NA
"1063",3,"Bueno",16,"Ninguno",0,"Hago mi propio café"
"1064",2,"Excelente",15.64,"Ninguno",30,"Starbucks"
"1065",NA,NA,NA,"Beca",NA,NA
"1066",NA,NA,NA,"Beca",NA,NA
"1067",2,"Bueno",14.7,"Ninguno",12,"Starbucks"
"1068",1,"Bueno",14.2,"Ninguno",24,"Starbucks"
"1069",NA,NA,NA,"Beca",NA,NA
"1070",NA,NA,NA,"Beca",NA,NA
"1071",NA,NA,NA,"Beca",NA,NA
"1072",NA,NA,NA,"Beca",NA,NA
"1073",2,"Bueno",15,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1074",NA,NA,NA,"Beca",NA,NA
"1075",4,"Bueno",13,"Ninguno",40,"Cafetería Artesanal"
"1076",2,"Regular",13,"Ninguno",15,"Hago mi propio café"
"1077",NA,NA,NA,"Beca",NA,NA
"1078",NA,NA,NA,"Beca",NA,NA
"1079",NA,NA,NA,"Beca",NA,NA
"1080",NA,NA,NA,"Beca",NA,NA
"1081",NA,NA,NA,"Semi-beca",NA,NA
"1082",NA,NA,NA,"Ninguno",NA,NA
"1083",NA,NA,NA,"Ninguno",NA,NA
"1084",NA,NA,NA,"Ninguno",NA,NA
"1085",3,"Puede Mejorar",12.75,"Semi-beca",50,"Starbucks"
"1086",1,"Regular",17.09,"Ninguno",0,"Hago mi propio café"
"1087",NA,NA,NA,"Ninguno",NA,NA
"1088",7,"Bueno",15,"Beca",15,"Hago mi propio café"
"1089",2,"Bueno",12.56,"Ninguno",20,"Cafetería Artesanal"
"1090",4,"Bueno",13,"Ninguno",10,"Hago mi propio café"
"1091",1,"Bueno",17.7,"Ninguno",10,"Hago mi propio café"
"1092",2,"Excelente",14.6,"Semi-beca",11,"Hago mi propio café"
"1093",1,"Regular",10,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1094",NA,NA,NA,"Semi-beca",NA,NA
"1095",NA,NA,NA,"Ninguno",NA,NA
"1096",NA,NA,NA,"Ninguno",NA,NA
"1097",4,"Excelente",13.78,"Beca",2,"Hago mi propio café"
"1098",NA,"Excelente",18.2,"Ninguno",2,"""Bodegas"" como Listo, Tambo, etc"
"1099",NA,NA,NA,"Ninguno",NA,NA
"1100",NA,NA,NA,"Ninguno",NA,NA
"1101",NA,NA,NA,"Semi-beca",NA,NA
"1102",1,"Bueno",16,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1103",NA,NA,NA,"Beca",NA,NA
"1104",2,"Bueno",16,"Ninguno",6,"Hago mi propio café"
"1105",1,"Bueno",17,"Ninguno",5,"Starbucks"
"1106",1,"Puede Mejorar",NA,"Ninguno",1,"Hago mi propio café"
"1107",NA,NA,NA,"Ninguno",NA,NA
"1108",NA,NA,NA,"Ninguno",NA,NA
"1109",1,"Excelente",16.05,"Semi-beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1110",NA,NA,NA,"Semi-beca",NA,NA
"1111",NA,NA,NA,"Ninguno",NA,NA
"1112",1,"Regular",15.8,"Semi-beca",15,"Hago mi propio café"
"1113",1,"Bueno",11,"Ninguno",0,"Cafetería Artesanal"
"1114",1,"Bueno",16,"Ninguno",20,"Starbucks"
"1115",1,"Bueno",14.5,"Semi-beca",35,"Starbucks"
"1116",NA,NA,NA,"Ninguno",NA,NA
"1117",1,"Bueno",17.9,"Beca",26,"Cafetería Artesanal"
"1118",1,"Excelente",NA,"Beca",50,"Hago mi propio café"
"1119",1,"Puede Mejorar",17,"Ninguno",12,"Hago mi propio café"
"1120",2,"Regular",16.48,"Ninguno",10,"Hago mi propio café"
"1121",1,"Bueno",12,"Ninguno",2,"Starbucks"
"1122",NA,"Regular",14.34,"Ninguno",13,"""Bodegas"" como Listo, Tambo, etc"
"1123",NA,NA,NA,"Semi-beca",NA,NA
"1124",NA,NA,NA,"Ninguno",NA,NA
"1125",2,"Regular",11,"Beca",2,"Hago mi propio café"
"1126",2,"Excelente",15,"Ninguno",2,"Hago mi propio café"
"1127",2,"Bueno",15,"Ninguno",10,"Hago mi propio café"
"1128",5,"Regular",13.67,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1129",NA,NA,NA,"Beca",NA,NA
"1130",4,"Regular",12,"Ninguno",10,"Hago mi propio café"
"1131",1,"Bueno",14,"Beca",3,"Hago mi propio café"
"1132",NA,NA,NA,"Ninguno",NA,NA
"1133",1,"Regular",13.2,"Ninguno",3,"Hago mi propio café"
"1134",1,"Regular",15,"Beca",5,"Hago mi propio café"
"1135",1,"Regular",14.7,"Ninguno",16,"""Bodegas"" como Listo, Tambo, etc"
"1136",2,"Bueno",14.9,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1137",2,"Bueno",NA,"Beca",27,"""Bodegas"" como Listo, Tambo, etc"
"1138",NA,NA,NA,"Semi-beca",NA,NA
"1139",NA,NA,NA,"Ninguno",NA,NA
"1140",NA,NA,NA,"Ninguno",NA,NA
"1141",NA,NA,NA,"Ninguno",NA,NA
"1142",NA,NA,NA,"Ninguno",NA,NA
"1143",NA,NA,NA,"Ninguno",NA,NA
"1144",NA,NA,NA,"Ninguno",NA,NA
"1145",1,"Bueno",13.5,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1146",NA,NA,NA,"Ninguno",NA,NA
"1147",3,"Excelente",13,"Ninguno",30,"Hago mi propio café"
"1148",NA,NA,NA,"Ninguno",NA,NA
"1149",NA,NA,NA,"Beca",NA,NA
"1150",NA,NA,NA,"Ninguno",NA,NA
"1151",1,"Bueno",15.3,"Beca",12.5,"""Bodegas"" como Listo, Tambo, etc"
"1152",1,"Bueno",13.55,"Ninguno",0,"Hago mi propio café"
"1153",1,"Bueno",16.28,"Ninguno",5,"Hago mi propio café"
"1154",2,"Bueno",14,"Ninguno",10,"Hago mi propio café"
"1155",NA,NA,NA,"Beca",NA,NA
"1156",NA,NA,NA,"Ninguno",NA,NA
"1157",1,"Bueno",18.45,"Beca",3,"Hago mi propio café"
"1158",NA,NA,NA,"Beca",NA,NA
"1159",1,"Puede Mejorar",12,"Ninguno",2,"Hago mi propio café"
"1160",NA,NA,NA,"Ninguno",NA,NA
"1161",2,"Bueno",15,"Ninguno",40,"Cafetería Artesanal"
"1162",3,"Excelente",16.48,"Ninguno",30,"Hago mi propio café"
"1163",1,"Puede Mejorar",12,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"1164",3,"Bueno",12.5,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"1165",NA,NA,NA,"Ninguno",NA,NA
"1166",NA,NA,NA,"Ninguno",NA,NA
"1167",NA,NA,NA,"Ninguno",NA,NA
"1168",1,"Bueno",14.6,"Ninguno",14,"Hago mi propio café"
"1169",NA,NA,NA,"Ninguno",NA,NA
"1170",3,"Puede Mejorar",14,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1171",NA,NA,NA,"Ninguno",NA,NA
"1172",7,"Puede Mejorar",15,"Ninguno",NA,"Hago mi propio café"
"1173",2,"Bueno",15,"Ninguno",0,"Hago mi propio café"
"1174",2,"Bueno",13,"Ninguno",5,"Cafetería Artesanal"
"1175",1,"Regular",0,"Ninguno",15,"Hago mi propio café"
"1176",NA,NA,NA,"Ninguno",NA,NA
"1177",2,"Bueno",17.15,"Ninguno",0,"Hago mi propio café"
"1178",1,"Regular",16.65,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"1179",1,"Regular",14.8,"Beca",7,"Cafetería Artesanal"
"1180",2,"Bueno",16.1,"Ninguno",1,"Hago mi propio café"
"1181",6,"Bueno",13,"Ninguno",40,"Cafetería Artesanal"
"1182",1,"Bueno",15.22,"Ninguno",0,"Starbucks"
"1183",2,"Regular",16.9,"Beca",3,"""Bodegas"" como Listo, Tambo, etc"
"1184",1,"Regular",12,"Ninguno",30,"Cafetería Artesanal"
"1185",NA,NA,NA,"Beca",NA,NA
"1186",3,"Bueno",13,"Ninguno",12,"Hago mi propio café"
"1187",3,"Bueno",17,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1188",5,"Bueno",15,"Ninguno",6,"Hago mi propio café"
"1189",2,"Bueno",12,"Ninguno",10,"Cafetería Artesanal"
"1190",3,"Excelente",13,"Ninguno",21,"Hago mi propio café"
"1191",4,"Excelente",16,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"1192",2,"Bueno",14,"Beca",5,"Hago mi propio café"
"1193",3,"Bueno",16,"Ninguno",8,"Starbucks"
"1194",3,"Excelente",13,"Ninguno",16,"Starbucks"
"1195",5,"Regular",11,"Ninguno",10,"Starbucks"
"1196",2,"Puede Mejorar",13.6,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"1197",NA,NA,NA,"Ninguno",NA,NA
"1198",4,"Bueno",NA,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1199",4,"Bueno",14,"Ninguno",19,"Cafetería Artesanal"
"1200",3,"Bueno",12.5,"Semi-beca",7,"Cafetería Artesanal"
"1201",2,"Bueno",14,"Beca",20,"Hago mi propio café"
"1202",NA,NA,NA,"Ninguno",NA,NA
"1203",2,"Bueno",18.2,"Ninguno",20,"Hago mi propio café"
"1204",NA,NA,NA,"Beca",NA,NA
"1205",NA,NA,NA,"Ninguno",NA,NA
"1206",NA,NA,NA,"Semi-beca",NA,NA
"1207",2,"Bueno",16,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1208",NA,NA,NA,"Beca",NA,NA
"1209",1,"Bueno",13,"Beca",10,"Hago mi propio café"
"1210",NA,NA,NA,"Semi-beca",NA,NA
"1211",NA,NA,NA,"Ninguno",NA,NA
"1212",3,"Bueno",16.3,"Beca",30,"Cafetería Artesanal"
"1213",2,"Excelente",17,"Ninguno",15,"Hago mi propio café"
"1214",NA,NA,NA,"Ninguno",NA,NA
"1215",4,"Bueno",17.4,"Ninguno",50,"Starbucks"
"1216",2,"Regular",15,"Ninguno",15,"Hago mi propio café"
"1217",2,"Excelente",14.5,"Ninguno",5,"Cafetería Artesanal"
"1218",3,"Bueno",15,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"1219",3,"Bueno",14.34,"Ninguno",20,"Hago mi propio café"
"1220",2,"Bueno",12,"Ninguno",8,"Starbucks"
"1221",4,"Bueno",16,"Ninguno",10,"Starbucks"
"1222",6,"Bueno",18,"Semi-beca",19,"Hago mi propio café"
"1223",1,"Regular",13.67,"Beca",10,"Hago mi propio café"
"1224",3,"Regular",15,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1225",1,"Regular",15.8,"Beca",20,"Hago mi propio café"
"1226",3,"Excelente",14,"Ninguno",10,"Cafetería Artesanal"
"1227",NA,NA,NA,"Ninguno",NA,NA
"1228",NA,NA,NA,"Ninguno",NA,NA
"1229",2,"Bueno",16.1,"Ninguno",5,"Hago mi propio café"
"1230",2,"Excelente",18,"Semi-beca",20,"Hago mi propio café"
"1231",NA,NA,NA,"Ninguno",NA,NA
"1232",2,"Bueno",11,"Ninguno",18,"Hago mi propio café"
"1233",3,"Regular",15,"Ninguno",12,"Hago mi propio café"
"1234",1,"Puede Mejorar",NA,"Beca",0,"Hago mi propio café"
"1235",3,"Puede Mejorar",14,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"1236",5,"Excelente",16,"Ninguno",0,"Hago mi propio café"
"1237",NA,NA,NA,"Ninguno",NA,NA
"1238",1,"Bueno",17.1,"Semi-beca",20,"Hago mi propio café"
"1239",2,"Bueno",18,"Ninguno",20,"Hago mi propio café"
"1240",2,"Bueno",NA,"Ninguno",50,"Cafetería Artesanal"
"1241",NA,NA,NA,"Ninguno",NA,NA
"1242",4,"Regular",12.48,"Semi-beca",4,"""Bodegas"" como Listo, Tambo, etc"
"1243",2,"Bueno",16.8,"Beca",10,"Hago mi propio café"
"1244",4,"Bueno",13.92,"Beca",4,"Hago mi propio café"
"1245",4,"Bueno",17.07,"Ninguno",10,"Hago mi propio café"
"1246",1,"Puede Mejorar",15.7,"Beca",3,"Hago mi propio café"
"1247",2,"Puede Mejorar",16.45,"Ninguno",14,"Hago mi propio café"
"1248",2,"Bueno",13.25,"Ninguno",15,"Cafetería Artesanal"
"1249",1,"Regular",15,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"1250",3,"Puede Mejorar",15.83,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"1251",NA,NA,NA,"Ninguno",NA,NA
"1252",1,"Puede Mejorar",14.56,"Ninguno",10,"Hago mi propio café"
"1253",1,"Regular",14,"Beca",0,"Cafetería Artesanal"
"1254",1,"Bueno",16.08,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"1255",4,"Bueno",14.2,"Ninguno",60,"Starbucks"
"1256",NA,NA,NA,"Ninguno",NA,NA
"1257",NA,NA,NA,"Ninguno",NA,NA
"1258",NA,NA,NA,"Ninguno",NA,NA
